trades,final_equity,total_return,cagr,max_drawdown,sharpe,sortino,calmar,win_rate,profit_factor,avg_r,expectancy_r,best_r,worst_r,total_fees,total_funding,avg_bars_held,liquidations,exposure,tf,entry_window,atr_stop_mult,trail_mult,regime_ema,vol_target,_risk,_lev
223,108420.34054163615,9.842034054163616,0.30622762355991906,-0.26306573432043306,1.1803439303086072,0.991973798636372,1.1640726389203988,0.27802690582959644,1.5270460342651069,0.6780537832881611,0.6780537832881611,30.0352654971837,-1.3296314926900479,12059.789213751681,22048.836106563773,34.53363228699551,0,0.39413480730846,4h,10,2.0,5.0,200,0.0,0.02,3.0
184,69133.18294389048,5.9133182943890485,0.2419812200070972,-0.20865759219575022,1.1680565292676848,0.8522208683982814,1.159704842084465,0.3858695652173913,1.8517738946844249,0.37569573156139335,0.37569573156139335,12.109075937802526,-1.106102526648584,5294.052265370714,6700.818523298816,26.342391304347824,0,0.24806796663084088,4h,30,3.0,3.5,200,0.6,0.02,3.0
147,193383.76096905072,18.338376096905073,0.3937551617932413,-0.34004854783805794,1.2033449571930934,0.8396525177164799,1.1579380776557828,0.30612244897959184,1.7213176603136622,0.9187115961884726,0.9187115961884726,31.658309513507632,-1.2131862899729149,19452.00162844603,35248.007174917744,36.72108843537415,0,0.2762679768667793,4h,55,2.0,5.0,100,0.6,0.02,3.0
196,81551.5958275555,7.15515958275555,0.26519236835186133,-0.23009683591057034,1.2180239362066205,1.0456300759056745,1.1525250545163135,0.32653061224489793,1.7196418372172164,0.6403901868127254,0.6403901868127254,24.105273082052065,-1.198177506005811,5695.979052072645,12604.154296385417,41.535714285714285,0,0.4166538717436921,4h,20,2.5,5.0,100,0.0,0.02,3.0
129,61389.250190454855,5.138925019045486,0.22555319486986525,-0.19814057958731218,1.1585712002859176,0.8032717235852268,1.138349324200263,0.34108527131782945,1.8656999352670594,0.8458711246754258,0.8458711246754258,25.47125319835535,-1.3621046275079176,3280.164359969569,8851.393261385634,41.689922480620154,0,0.27524438302881415,4h,55,2.5,5.0,200,0.0,0.02,3.0
162,142537.37096884704,13.253737096884704,0.34690325216749196,-0.30495270392345597,1.247663348353585,0.9961727271920876,1.137564113071664,0.3395061728395062,1.7187479521629832,0.6493434206833406,0.6493434206833406,21.307148175055634,-1.1655504990466297,10891.278862638988,23359.433881497367,45.32716049382716,0,0.3758124776088848,4h,20,3.0,5.0,200,0.6,0.02,3.0
126,44809.186786329796,3.48091867863298,0.1830620314524114,-0.1611123387703507,1.1004546457155882,0.7729961189239442,1.136238433689103,0.3492063492063492,1.865473105786837,0.7016619773703702,0.7016619773703702,21.30714817505563,-1.277529405823483,1984.518358677206,5912.852158822332,44.19047619047619,0,0.28496852448948257,4h,55,3.0,5.0,200,0.0,0.02,3.0
135,93724.24733097905,8.372424733097905,0.28507535215160784,-0.2514152065228072,1.1354785463944324,0.8223328444174851,1.1338826958573294,0.34074074074074073,1.7598648531077115,0.6500084739719876,0.6500084739719876,21.30714817505563,-1.2775294058234827,6171.738705294712,14494.197170773605,44.24444444444445,0,0.3056962997082758,4h,55,3.0,5.0,100,0.6,0.02,3.0
137,93665.85236921154,8.366585236921154,0.2849855857217787,-0.25141520652280747,1.1336743845637642,0.8274426706035829,1.1335256513051284,0.3357664233576642,1.804813339775777,0.6369899654726637,0.6369899654726637,21.307148175055637,-1.277529405823483,5991.313591482307,14017.259089946983,44.13868613138686,0,0.3094835969087466,4h,55,3.0,5.0,0,0.6,0.02,3.0
200,307101.7172010392,29.71017172010392,0.46791137895690826,-0.4135810721553257,1.2473062778898258,0.9822208893997236,1.1313655543239614,0.29,1.5253563393529683,0.7556817402976018,0.7556817402976018,30.035265497183698,-1.2964813488649078,41773.13535695379,67407.53524650069,34.52,0,0.353344592865551,4h,30,2.0,5.0,0,0.6,0.02,3.0
184,35321.51488768773,2.532151488768773,0.15193023944872608,-0.1351204807242417,1.1195989848607006,0.812685999943602,1.12440570544439,0.3858695652173913,1.7995569560376479,0.37569573156139335,0.37569573156139335,12.109075937802526,-1.106102526648584,2113.766985557744,3358.0214088411003,26.342391304347824,0,0.24806796663084088,4h,30,3.0,3.5,200,0.0,0.02,3.0
159,46217.73723563308,3.621773723563308,0.1871732447537353,-0.1671341627001646,0.9940781689078736,0.6783694983475612,1.1198981807778008,0.36477987421383645,1.7334408959979162,0.3443898949476402,0.3443898949476402,12.109075937802526,-1.1101031506692267,3492.7209759377074,4917.416674893677,26.358490566037737,0,0.21449408874558576,4h,55,3.0,3.5,200,0.6,0.02,3.0
298,154014.23982681494,14.401423982681495,0.35864504582428003,-0.3229337616780747,1.2297161795175506,1.124918804880971,1.1105839289166832,0.40604026845637586,1.4819165199014952,0.33237444778344327,0.33237444778344327,13.505698661486198,-1.1981775060058113,20240.93319880345,20908.23106938133,26.06711409395973,0,0.3975638466656431,4h,10,2.5,3.5,100,0.6,0.02,3.0
140,131893.779329169,12.1893779329169,0.3352380199224354,-0.3034953073023852,1.1617552173802936,0.8360392086193386,1.1045904561167517,0.32857142857142857,1.6926766028694866,0.7690456752755637,0.7690456752755637,25.47125319835535,-1.3621046275079176,11018.70561554414,23277.59511065315,41.65714285714286,0,0.2984799631506218,4h,55,2.5,5.0,0,0.6,0.02,3.0
138,60208.573700212655,5.0208573700212655,0.22288848374195558,-0.2019617124586898,1.1332476586567835,0.8152187516092281,1.1036175175408371,0.3333333333333333,1.8314910042488388,0.7843931349841305,0.7843931349841305,25.47125319835535,-1.3621046275079178,3327.572564093898,8869.585715575791,41.94202898550725,0,0.2962280567070986,4h,55,2.5,5.0,100,0.0,0.02,3.0
172,45423.21732280404,3.5423217322804037,0.18486814368684557,-0.16802314307219915,0.9747026245917886,0.6911783174396379,1.1002540501662212,0.36627906976744184,1.6927768038559041,0.32059176008687995,0.32059176008687995,12.109075937802524,-1.1101031506692267,3648.679811285592,4918.730908130868,26.238372093023255,0,0.2309739495368238,4h,55,3.0,3.5,0,0.6,0.02,3.0
298,57209.11991442582,4.720911991442582,0.2159042524893222,-0.19726738934470087,1.148147159551053,1.0653819307048855,1.0944751345193486,0.40604026845637586,1.4569054492071238,0.3323744477834432,0.3323744477834432,13.505698661486202,-1.198177506005811,6358.002530097634,8136.468654260923,26.06711409395973,0,0.3975638466656431,4h,10,2.5,3.5,100,0.0,0.02,3.0
243,55389.080232103035,4.538908023210303,0.21150608524097314,-0.19405005331158265,1.1935314515366473,1.011251995288854,1.0899563366847504,0.40329218106995884,1.6098236510288417,0.3925128896442597,0.3925128896442597,14.47558052705357,-1.198177506005811,5036.518378694501,6720.7735803910955,26.31687242798354,0,0.3272941296893393,4h,20,2.5,3.5,100,0.0,0.02,3.0
241,82824.93466945805,7.282493466945805,0.2673913334950695,-0.2508724942307466,1.1822259290991282,0.9826769413169663,1.0658455575808532,0.4066390041493776,1.582267942307427,0.31641144978765107,0.31641144978765107,12.109075937802526,-1.1440453091118181,8840.153867558056,10103.943207498884,26.775933609958507,0,0.33026255181943803,4h,20,3.0,3.5,100,0.6,0.02,3.0
227,159156.23162719427,14.915623162719427,0.3636553829438811,-0.3431752132212917,1.1322792948478562,1.0150513810146125,1.0596784643341448,0.31718061674008813,1.5588780930965969,0.5069996261739617,0.5069996261739617,26.591993089136555,-1.198177506005811,16901.947475567176,29315.85920757256,40.5374449339207,0,0.4709555248477404,4h,20,2.5,5.0,0,0.6,0.02,3.0
200,110316.13033029423,10.031613033029423,0.3087679671460375,-0.29168798858652106,1.1972035530752942,0.9503652973570453,1.0585556458539263,0.29,1.6588262986459599,0.7556817402976018,0.7556817402976018,30.0352654971837,-1.2964813488649078,10186.817514632681,20068.110070978197,34.52,0,0.353344592865551,4h,30,2.0,5.0,0,0.0,0.02,3.0
261,166438.4717371284,15.643847173712839,0.37051067330902776,-0.3517902458907748,1.1873927409587086,0.9773969197001628,1.053214742696605,0.36015325670498083,1.422265549763529,0.4226095473079747,0.4226095473079747,17.99174956742042,-1.2900300374782285,28598.855711870092,27573.271705040515,23.24904214559387,0,0.31055837043860995,4h,20,2.0,3.5,100,0.6,0.02,3.0
159,26893.94908421829,1.689394908421829,0.11726758733788545,-0.11179273030441836,0.9363669136431361,0.6306954316620221,1.0489732831335161,0.36477987421383645,1.6869616388976476,0.3443898949476402,0.3443898949476402,12.109075937802526,-1.1101031506692265,1516.1028232402502,2687.6168501474694,26.358490566037737,0,0.21449408874558576,4h,55,3.0,3.5,200,0.0,0.02,3.0
188,43531.35947228819,3.353135947228819,0.17923186447379047,-0.1730419973693172,1.1211529846963684,0.8068040233369543,1.035770894919009,0.3723404255319149,1.7150290860473214,0.4361941168675281,0.4361941168675281,14.475580527053573,-1.1274600358793958,3186.390660054866,4807.118410579812,25.356382978723403,0,0.2439735912789805,4h,30,2.5,3.5,200,0.0,0.02,3.0
192,108469.2133580006,9.84692133580006,0.3062936063002959,-0.2960584847411187,1.1232031318699283,0.9527297560457669,1.034571282657638,0.3333333333333333,1.5618014428645122,0.4848534279292192,0.4848534279292192,20.16153279799161,-1.1655504990466297,9766.527227165487,19921.452950253093,44.145833333333336,0,0.4337990685296075,4h,20,3.0,5.0,100,0.6,0.02,3.0
188,88643.70764710363,7.864370764710364,0.27707298725008234,-0.268121707490225,1.1536124464304875,0.8300156216738439,1.0333851363384432,0.3723404255319149,1.680564295816141,0.4361941168675281,0.4361941168675281,14.475580527053573,-1.1274600358793958,8661.42781721234,10360.470724808474,25.356382978723403,0,0.2439735912789805,4h,30,2.5,3.5,200,0.6,0.02,3.0
138,132228.93477681256,12.222893477681255,0.33561788817778293,-0.32579835919294126,1.1642340694702418,0.8335818374464398,1.0301398969877145,0.3333333333333333,1.6563063506292812,0.7843931349841305,0.7843931349841305,25.471253198355356,-1.3621046275079176,11380.285452259324,24116.10554908266,41.94202898550725,0,0.2962280567070986,4h,55,2.5,5.0,100,0.6,0.02,3.0
237,64995.0825855429,5.49950825855429,0.23341865318584953,-0.22659983159662375,1.0642347298490382,0.9800318472949254,1.0300919093415928,0.3037974683544304,1.4653175442270596,0.4922935203696507,0.4922935203696507,27.33358618571276,-1.1981775060058115,6095.542344284075,12761.508994083688,39.742616033755276,0,0.4820615179896617,4h,10,2.5,5.0,100,0.0,0.02,3.0
148,108207.70553724596,9.820770553724596,0.3059402392327488,-0.2999377775664138,1.148443872295933,0.8532267765364814,1.0200123562794816,0.3581081081081081,1.7411930787509338,0.6597877277707597,0.6597877277707597,21.307148175055637,-1.1206426534184668,7574.076521280713,17143.152508000516,43.101351351351354,0,0.3264752546189672,4h,30,3.0,5.0,200,0.6,0.02,3.0
148,51927.68690068094,4.192768690068094,0.20277512953703036,-0.19926939325144682,1.140758943094162,0.8516041853818934,1.017592949064485,0.3581081081081081,1.8651753375982265,0.6597877277707598,0.6597877277707598,21.307148175055637,-1.1206426534184666,2515.940648624419,6989.418057262194,43.101351351351354,0,0.3264752546189672,4h,30,3.0,5.0,200,0.0,0.02,3.0
262,129329.06658059705,11.932906658059705,0.3323024383633191,-0.3271552481073778,1.1978789646472399,1.0179584330020224,1.0157331734267392,0.3931297709923664,1.5089848640915307,0.3523995646235036,0.3523995646235036,13.5056986614862,-1.198177506005811,16092.319616285706,17353.413881220116,25.72519083969466,0,0.34495112339423717,4h,10,2.5,3.5,200,0.6,0.02,3.0
126,92518.74581423338,8.251874581423337,0.28321206746856364,-0.2800520151439857,1.13506963238409,0.7930207158568445,1.0112838049851318,0.3492063492063492,1.7342420341228284,0.7016619773703702,0.7016619773703702,21.30714817505563,-1.277529405823483,6134.340910369036,14545.521449600205,44.19047619047619,0,0.28496852448948257,4h,55,3.0,5.0,200,0.6,0.02,3.0
172,27046.88171275892,1.7046881712758921,0.11797790183752666,-0.11731446020245409,0.9255043377396642,0.6490284331202856,1.0056552417658287,0.36627906976744184,1.6534407275682685,0.32059176008687995,0.32059176008687995,12.109075937802526,-1.1101031506692267,1623.8677086058556,2742.3882812158977,26.238372093023255,0,0.2309739495368238,4h,55,3.0,3.5,0,0.0,0.02,3.0
249,258824.35287272444,24.882435287272443,0.44004013687642196,-0.4375805779100225,1.1627780720892429,1.022758045616863,1.0056208138353555,0.2570281124497992,1.4116115974742318,0.5896846155810354,0.5896846155810354,33.06017376738558,-1.2964813488649078,43006.4228441249,62803.41469748146,34.30120481927711,0,0.437125748502994,4h,20,2.0,5.0,0,0.6,0.02,3.0
237,169410.21132309127,15.941021132309128,0.373231891934626,-0.37273719817941925,1.12995920832704,1.0253091509093797,1.0013271918059776,0.3037974683544304,1.4446239622856372,0.49229352036965074,0.49229352036965074,27.333586185712758,-1.1981775060058113,20490.222493089906,35300.24097545257,39.742616033755276,0,0.4820615179896617,4h,10,2.5,5.0,100,0.6,0.02,3.0
262,50758.9104942207,4.0758910494220695,0.19971007154840748,-0.2022077965752719,1.1233645629922597,0.9637623192182252,0.9876477313478135,0.3931297709923664,1.500540631067073,0.3523995646235036,0.3523995646235036,13.505698661486196,-1.198177506005811,5168.031694449926,7020.821613718916,25.72519083969466,0,0.34495112339423717,4h,10,2.5,3.5,200,0.0,0.02,3.0
170,45209.44350863686,3.5209443508636857,0.1842418218230466,-0.18952577086884553,0.9738693577889658,0.6866203278138914,0.972120155366863,0.3588235294117647,1.6624817662860896,0.3249809653454974,0.3249809653454974,12.109075937802528,-1.1101031506692267,3711.998684936727,5029.004468929718,26.3,0,0.2288244024770971,4h,55,3.0,3.5,100,0.6,0.02,3.0
207,60560.55235102122,5.056055235102122,0.22368769600293636,-0.23023657748230292,1.0680914573167557,0.9162277216128208,0.9715558598421663,0.30434782608695654,1.4973835848673265,0.5383762615678166,0.5383762615678166,24.105273082052054,-1.1981775060058113,5478.974076704225,12166.1067645152,39.68599033816425,0,0.42044116894416295,4h,10,2.5,5.0,200,0.0,0.02,3.0
173,84260.39414852494,7.426039414852493,0.2698345620076623,-0.2794895929313815,1.0371113928678397,0.8132163043447255,0.9654547748184327,0.32947976878612717,1.5810828905340857,0.4866281321154005,0.4866281321154005,20.161532797991608,-1.1206426534184666,6940.616292987883,15090.315750927482,41.861271676300575,0,0.37064332872716105,4h,30,3.0,5.0,100,0.6,0.02,3.0
139,184754.80308447574,17.475480308447576,0.38664252662496446,-0.4046402949790973,1.195319270732616,0.8038233018454388,0.9555215617983311,0.30935251798561153,1.6753514172715032,0.9686379583178609,0.9686379583178609,31.65830951350763,-1.2131862899729149,19277.526734046685,35264.515805477226,36.17985611510792,0,0.25738267055632325,4h,55,2.0,5.0,200,0.6,0.02,3.0
293,96511.10986145175,8.651110986145175,0.2893027108178099,-0.30355329494949734,1.180908279821066,1.0723397755667397,0.9530540950508927,0.41638225255972694,1.475083042192849,0.2763360739418545,0.2763360739418545,11.296030509846569,-1.1440453091118181,11719.642442476945,12899.91281813377,27.003412969283275,0,0.40493372229899177,4h,10,3.0,3.5,100,0.6,0.02,3.0
176,154968.37982824468,14.496837982824468,0.35958586799914416,-0.3832822128524919,1.1665356870257406,0.9100363523016977,0.9381752033912739,0.32386363636363635,1.5775104036773182,0.6483482188273428,0.6483482188273428,24.10527308205206,-1.1621579872395253,15633.56744717375,30249.252153550602,39.86363636363637,0,0.35907671835815547,4h,30,2.5,5.0,100,0.6,0.02,3.0
241,39955.300567467304,2.9955300567467305,0.16795626254462048,-0.1792904295125115,1.1333456088735014,0.9550833795313762,0.9367832014307262,0.4066390041493776,1.586283624332481,0.31641144978765107,0.31641144978765107,12.109075937802526,-1.1440453091118183,3270.160399217328,4551.257194227476,26.775933609958507,0,0.33026255181943803,4h,20,3.0,3.5,100,0.0,0.02,3.0
135,44162.89240834354,3.416289240834354,0.18113712326005182,-0.1937174425333063,1.0780699348347471,0.7846914599421252,0.9350584071896804,0.34074074074074073,1.8354952037519736,0.6500084739719877,0.6500084739719877,21.307148175055637,-1.277529405823483,2024.4667441405786,5930.338103198776,44.24444444444445,0,0.3056962997082758,4h,55,3.0,5.0,100,0.0,0.02,3.0
297,133197.46686191956,12.319746686191955,0.3367108461437198,-0.3603281511913908,1.0823949683453682,0.9360790943551246,0.9344561201516379,0.3501683501683502,1.3830820069400707,0.33276637869315784,0.33276637869315784,17.99174956742042,-1.2900300374782285,24974.757114872664,23479.942825037975,22.996632996632997,0,0.3495572956650801,4h,20,2.0,3.5,0,0.6,0.02,3.0
262,105714.35095567754,9.571435095567754,0.3025324245384846,-0.32395053044766525,1.128390300273523,1.0222476215349825,0.933884640103589,0.2633587786259542,1.4264743203916632,0.5844008006783249,0.5844008006783249,34.0499904362124,-1.3296314926900479,13423.36753249374,23065.397511478062,33.48091603053435,0,0.44894825733149085,4h,10,2.0,5.0,100,0.0,0.02,3.0
